title,revenue,currency,unit,revenue_mln
"Bajrangi Bhaijaan",11690.00,INR,Millions,11690.00
PK,8540.00,INR,Millions,8540.00
Sanju,5.90,INR,Billions,5900.00
"3 Idiots",4000.00,INR,Millions,4000.00
"Bajirao Mastani ",3.50,INR,Billions,3500.00
"The Kashmir Files",3409.00,INR,Millions,3409.00
"Race 3",3.10,INR,Billions,3100.00
"Dilwale Dulhania Le Jayenge",2000.00,INR,Millions,2000.00
"Kabhi Khushi Kabhie Gham",1360.00,INR,Millions,1360.00
"Taare Zameen Par",1350.00,INR,Millions,1350.00
Shershaah,950.00,INR,Millions,950.00
"Munna Bhai M.B.B.S.",410.00,INR,Millions,410.00
