title,industry,imdb_rating,rank_in_industry
"K.G.F: Chapter 2",Bollywood,8.4,1
"3 Idiots",Bollywood,8.4,1
Shershaah,Bollywood,8.4,1
"Taare Zameen Par",Bollywood,8.3,2
"Pather Panchali",Bollywood,8.3,2
"The Kashmir Files",Bollywood,8.3,2
"Munna Bhai M.B.B.S.",Bollywood,8.1,3
Sholay,Bollywood,8.1,3
PK,Bollywood,8.1,3
"Bajrangi Bhaijaan",Bollywood,8.1,3
"Dilwale Dulhania Le Jayenge",Bollywood,8.0,4
RRR,Bollywood,8.0,4
"Baahubali: The Beginning",Bollywood,8.0,4
"Pushpa: The Rise - Part 1",Bollywood,7.6,5
"Kabhi Khushi Kabhie Gham",Bollywood,7.4,6
"Bajirao Mastani ",Bollywood,7.2,7
"Race 3",Bollywood,1.9,8
Sanju,Bollywood,NULL,9
"The Shawshank Redemption",Hollywood,9.3,1
"The Godfather",Hollywood,9.2,2
"The Dark Knight",Hollywood,9.0,3
"Schindler's List",Hollywood,9.0,3
Inception,Hollywood,8.8,4
Interstellar,Hollywood,8.6,5
"It's a Wonderful Life",Hollywood,8.6,5
Gladiator,Hollywood,8.5,6
Parasite,Hollywood,8.5,6
"Avengers: Infinity War",Hollywood,8.4,7
"Avengers: Endgame",Hollywood,8.4,7
"Jurassic Park",Hollywood,8.2,8
"The Pursuit of Happyness",Hollywood,8.0,9
"Thor: Ragnarok ",Hollywood,7.9,10
Titanic,Hollywood,7.9,10
Avatar,Hollywood,7.8,11
"Captain America: The Winter Soldier",Hollywood,7.8,11
"Doctor Strange in the Multiverse of Madness",Hollywood,7.0,12
"Captain America: The First Avenger",Hollywood,6.9,13
"Thor: Love and Thunder ",Hollywood,6.8,14
"Thor: The Dark World ",Hollywood,6.8,14
