studio,title,revenue,revenue_rank
,"Taare Zameen Par",1350.00,1
,Parasite,263.10,2
,"Bajirao Mastani ",3.50,3
"20th Century Fox",Avatar,2847.00,1
"Arka Media Works","Baahubali: The Beginning",6.50,1
"Castle Rock Entertainment","The Shawshank Redemption",73.30,1
"Columbia Pictures","The Pursuit of Happyness",307.10,1
"Dharma Productions","Kabhi Khushi Kabhie Gham",1360.00,1
"Dharma Productions",Shershaah,950.00,2
"DVV Entertainment",RRR,12.00,1
"Government of West Bengal","Pather Panchali",100000.00,1
"Hombale Films","K.G.F: Chapter 2",12.50,1
"Liberty Films","It's a Wonderful Life",3.30,1
"Marvel Studios","Avengers: Endgame",2798.00,1
"Marvel Studios","Avengers: Infinity War",2048.00,2
"Marvel Studios","Doctor Strange in the Multiverse of Madness",954.80,3
"Marvel Studios","Thor: Ragnarok ",854.00,4
"Marvel Studios","Captain America: The Winter Soldier",714.40,5
"Marvel Studios","Thor: Love and Thunder ",670.00,6
"Marvel Studios","Thor: The Dark World ",644.80,7
"Marvel Studios","Captain America: The First Avenger",370.60,8
"Mythri Movie Makers","Pushpa: The Rise - Part 1",3.60,1
"Paramount Pictures",Titanic,2202.00,1
"Paramount Pictures","The Godfather",291.00,2
"Salman Khan Films","Bajrangi Bhaijaan",11690.00,1
"Salman Khan Films","Race 3",3.10,2
Syncopy,"The Dark Knight",1006.00,1
"Universal Pictures","Jurassic Park",1046.00,1
"Universal Pictures","Schindler's List",322.20,2
"Universal Pictures  ",Gladiator,460.50,1
"Vinod Chopra Films",PK,8540.00,1
"Vinod Chopra Films","3 Idiots",4000.00,2
"Vinod Chopra Films",Sanju,5.90,3
"Vinod Chopra Productions","Munna Bhai M.B.B.S.",410.00,1
"Warner Bros. Pictures",Interstellar,701.80,1
"Yash Raj Films","Dilwale Dulhania Le Jayenge",2000.00,1
"Zee Studios","The Kashmir Files",3409.00,1
