title,actor_name,birth_year
"K.G.F: Chapter 2","Sanjay Dutt",1959
"Doctor Strange in the Multiverse of Madness","Benedict Cumberbatch",1976
"Thor: The Dark World ","Natalie Portman",1981
"Thor: The Dark World ","Tom Hiddleston",1981
"Thor: Ragnarok ","Tom Hiddleston",1981
"Thor: Love and Thunder ","Natalie Portman",1981
Sholay,"Amitabh Bachchan",1942
"Dilwale Dulhania Le Jayenge","Shah Rukh Khan",1965
"3 Idiots","Aamir Khan",1965
"Kabhi Khushi Kabhie Gham","Amitabh Bachchan",1942
"Bajirao Mastani ","Ranveer Singh",1985
"The Shawshank Redemption","Morgan Freeman",1937
Inception,"Ken Watanabe",1959
Interstellar,"Matthew McConaughey",1969
"The Pursuit of Happyness","Will Smith",1968
Gladiator,"Russell Crowe",1964
Titanic,"Leonardo DiCaprio",1974
"It's a Wonderful Life","James Stewart",1908
Avatar,"Sam Worthington",1976
"The Godfather","Marlon Brando",1924
"The Dark Knight","Christian Bale",1974
"Schindler's List","Ben Kingsley",1943
"Jurassic Park","Sam Neill",1947
Parasite,"Song Kang-ho",1967
"Avengers: Endgame","Robert Downey Jr.",1965
"Avengers: Infinity War","Robert Downey Jr.",1965
"Pather Panchali","Kanu Banerjee",1905
"Taare Zameen Par","Aamir Khan",1965
"Munna Bhai M.B.B.S.","Sunil Dutt",1929
PK,"Aamir Khan",1965
Sanju,"Ranbir Kapoor",1982
"Pushpa: The Rise - Part 1","Allu Arjun",1982
"Pushpa: The Rise - Part 1","Fahadh Faasil",1982
RRR,"N. T. Rama Rao Jr.",1983
"Baahubali: The Beginning",Prabhas,1979
"The Kashmir Files","Mithun Chakraborty",1950
"Bajrangi Bhaijaan","Salman Khan",1965
"Captain America: The First Avenger","Tommy Lee Jones",1946
"Captain America: The Winter Soldier","Chris Evans",1981
"Race 3","Anil Kapoor",1956
Shershaah,"Sidharth Malhotra",1985
