title,name
"Pather Panchali",Bengali
"Doctor Strange in the Multiverse of Madness",English
"Thor: The Dark World ",English
"Thor: Ragnarok ",English
"Thor: Love and Thunder ",English
"The Shawshank Redemption",English
Inception,English
Interstellar,English
"The Pursuit of Happyness",English
Gladiator,English
Titanic,English
"It's a Wonderful Life",English
Avatar,English
"The Godfather",English
"The Dark Knight",English
"Schindler's List",English
"Jurassic Park",English
Parasite,English
"Avengers: Endgame",English
"Avengers: Infinity War",English
"Captain America: The First Avenger",English
"Captain America: The Winter Soldier",English
Sholay,Hindi
"Dilwale Dulhania Le Jayenge",Hindi
"3 Idiots",Hindi
"Kabhi Khushi Kabhie Gham",Hindi
"Bajirao Mastani ",Hindi
"Taare Zameen Par",Hindi
"Munna Bhai M.B.B.S.",Hindi
PK,Hindi
Sanju,Hindi
"The Kashmir Files",Hindi
"Bajrangi Bhaijaan",Hindi
"Race 3",Hindi
Shershaah,Hindi
"K.G.F: Chapter 2",Kannada
"Pushpa: The Rise - Part 1",Telugu
RRR,Telugu
"Baahubali: The Beginning",Telugu
